plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	status	applicable_programs	curation_status
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Environmental Site Planning	Environmental Planning in Site Planning	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Environmental Site Planning	Principles and Applications of Climate Responsive Site Design in Architecture	Site Planning	(unset)	Existing	Architecture, Landscape Architecture	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Parking Requirements in Site Planning	Site Planning	PROFESSIONAL_PRACTICE_AND_REGULATION	Existing	Architecture, Landscape Architecture, Environmental Planning	VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Landscape Planning in Architectural Site Planning	Site Planning	(unset)	Existing	Architecture, Landscape Architecture	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Principles and Strategies in Pedestrian and Vehicular Circulation Design	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Setbacks and Easements in Site Development	Site Planning	PROFESSIONAL_PRACTICE_AND_REGULATION	Existing	Architecture, Landscape Architecture, Environmental Planning	VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Site Zoning and Functional Organization	Site Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Pedestrian Circulation in Site Planning	Site Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Vehicular Circulation and Access	Site Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Service Access and Loading	Site Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Organization and Circulation	Site Grading Principles	Site Planning	ENGINEERING_SCIENCES	New	Architecture, Landscape Architecture, Environmental Planning	VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Principles of Planning	Fundamentals of Urban and Regional Planning	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Principles of Planning	General Planning Process	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Principles of Planning	History of Urban Planning	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Principles of Planning	Planning Theories and Models	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Fundamentals of Urban Planning in Site Development	Urban Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Zoning Regulations and Land Use Planning	National Building Code	PROFESSIONAL_PRACTICE_AND_REGULATION	Reuse	Architecture, Civil Engineering, Interior Design	VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Land Use Planning Principles	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Urban Form and Spatial Structure	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Urban Design Principles	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Streetscape and Public Realm Design	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Land Use and Urban Design	Urbanization and Human Settlements	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Housing and Human Settlements	Principles of Housing and Human Settlements	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Housing and Human Settlements	Housing Typologies	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Housing and Human Settlements	Philippine Housing Policies and Programs	Urban Planning	PROFESSIONAL_PRACTICE_AND_REGULATION	New	Architecture, Landscape Architecture, Environmental Planning	VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Housing and Human Settlements	Subdivision Planning	Site Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Housing and Human Settlements	Community Planning	Urban Planning	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Landscape Architecture	Landscape Planning in Architectural Site Planning	Site Planning	(unset)	Existing	Architecture, Landscape Architecture	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Landscape Architecture	Landscape Design Principles	Landscape Architecture	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Landscape Architecture	Hardscape and Softscape Planning	Landscape Architecture	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Landscape Architecture	Planting Design Fundamentals	Landscape Architecture	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Landscape Architecture	Open Space Planning	Landscape Architecture	(unset)	New	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Fundamentals of Concrete in Construction Materials and Testing	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Properties, Types, and Testing of Cement in Construction Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Properties and Testing of Aggregates in Construction Materials	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Properties, Types, and Testing of Reinforcing and Structural Steel in Construction	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Timber as a Construction Material: Properties, Types, and Testing Methods	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Fundamentals of Masonry in Construction Materials and Testing	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Material Properties in Construction Materials Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Aggregate Testing in Construction Materials Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Excluded	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Concrete Testing Methods in Construction Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Excluded	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Fundamentals of Steel Testing in Construction Materials Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Excluded	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Fundamentals of Asphalt Testing	Construction Materials and Testing	ENGINEERING_SCIENCES	Excluded	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Construction Materials	Non-Destructive Testing in Construction Materials Engineering	Construction Materials and Testing	ENGINEERING_SCIENCES	Excluded	Architecture, Civil Engineering, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Fundamentals of Concrete Construction	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Masonry Construction Basics	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Reinforced Concrete Construction Principles	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Concrete Formwork	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Masonry Wall Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Concrete and Masonry Construction	Concrete Finishes	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Timber Construction	Fundamentals and Applications of Wood Construction	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Timber Construction	Timber Framing Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Timber Construction	Carpentry and Joinery	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Timber Construction	Wood Connections	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Steel and Metal Construction	Principles and Practices of Steel Construction in Architecture	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Steel and Metal Construction	Structural Steel Construction Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Steel and Metal Construction	Light-Gauge Metal Construction	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Steel and Metal Construction	Sheet Metal and Tinsmithry	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Steel and Metal Construction	Metal Connections and Architectural Detailing	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Roofing Systems and Materials in Architecture	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Comprehensive Waterproofing Methods in Architectural Design	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Wall and Cladding Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Glass and Glazing	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Fenestration Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Thermal Insulation	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Damp-Proofing	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Building Envelope	Building Envelope Performance	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Civil Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Comprehensive Overview of Flooring Materials in Architecture	Building Technology	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Wall Finishes	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Ceiling Systems	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Paints, Coatings, and Varnishes	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Architectural Hardware	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Doors and Windows	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Interior and Finish Materials	Interior Finish Selection	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering, Interior Design	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Specifications and Construction Documentation	Architectural Specifications	Professional Practice	PROFESSIONAL_PRACTICE_AND_REGULATION	New	Architecture	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Specifications and Construction Documentation	Construction Specifications Fundamentals	Professional Practice	PROFESSIONAL_PRACTICE_AND_REGULATION	New	Architecture	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Specifications and Construction Documentation	Material Specifications and Selection	Building Technology	ENGINEERING_SCIENCES	New	Architecture, Architectural Engineering	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Specifications and Construction Documentation	Construction Drawings and Details	Professional Practice	PROFESSIONAL_PRACTICE_AND_REGULATION	New	Architecture	VALID
4	🧱 Building Materials and Construction	Master building materials, assemblies, construction systems, detailing principles, and methods of construction used in architectural practice.	Specifications and Construction Documentation	Coordination of Architectural Construction Documents	Professional Practice	PROFESSIONAL_PRACTICE_AND_REGULATION	New	Architecture	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Foundations of Structural Systems in Architecture	Structural Components	ENGINEERING_SCIENCES	Existing	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Beam Versus Column Structural Components	Structural Components	ENGINEERING_SCIENCES	Existing	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Dead Load vs Live Load in Structural Engineering	Structural Components	ENGINEERING_SCIENCES	Reuse	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Forces and Equilibrium in Building Structures	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Structural Loads and Load Paths	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Structural Stability Fundamentals	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Fundamentals	Structural Determinacy Fundamentals	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Strength and Behavior of Materials	Stress and Strain Fundamentals	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Strength and Behavior of Materials	Tension, Compression, and Shear in Buildings	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Strength and Behavior of Materials	Bending and Deflection Fundamentals	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Strength and Behavior of Materials	Material Strength and Structural Behavior	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Load-Bearing Wall Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Post-and-Beam Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Frame Structural Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Truss Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Arch and Vault Structures	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Cable and Tensile Structures	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Shell and Space-Frame Structures	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Structural Systems	Long-Span Structural Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Reinforced Concrete Structures	Reinforced Concrete Structural Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Reinforced Concrete Structures	Reinforced Concrete Beams and Slabs	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Reinforced Concrete Structures	Reinforced Concrete Columns	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Reinforced Concrete Structures	Reinforced Concrete Building Frames	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Steel, Timber, and Composite Structures	Structural Steel Building Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Steel, Timber, and Composite Structures	Timber Structural Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
5	🏗️ Structural Concepts for Architecture	Build practical understanding of structural behavior, loads, structural systems, materials, and seismic principles needed for safe and integrated architectural design.	Steel, Timber, and Composite Structures	Composite Structural Systems	Structural Components	ENGINEERING_SCIENCES	New	Architecture, Civil Engineering, Architectural Engineering	VALID
