plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Contemporary Ethical Issues in Society	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Computing as a Discipline and Profession	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	History and Evolution of Computing	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Computer Hardware and Software Fundamentals	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Data Representation: Binary, Hexadecimal, and Character Encoding	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Computer Systems and Information Processing	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Networks, the Internet, and the World Wide Web	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Ethics, Privacy, Security, and Responsible Computing	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Introduction to Computing	Emerging Trends and Fields in Computing	Introduction to Computing	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Computational Problem Solving and Algorithm Design	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Variables, Constants, and Data Types	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Operators and Expressions	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Input and Output in Programs	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Conditional Statements and Selection	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Loops and Iteration	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Functions and Procedures	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Program Tracing and Dry Runs	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals I	Basic Debugging and Error Types	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Arrays and Sequential Collections	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Strings and Text Processing	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Modular Program Design	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Parameters, Return Values, and Variable Scope	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Introduction to Recursion	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	File Input and Output	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Exception and Error Handling	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Testing and Debugging Programs	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Programming Fundamentals II	Structured Problem Solving with Larger Programs	Programming Fundamentals	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Propositional Logic	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Predicate Logic and Quantifiers	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Sets and Set Operations	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Relations and Their Properties	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Functions in Discrete Mathematics	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Direct, Contrapositive, and Contradiction Proofs	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Mathematical Induction	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Basic Counting Principles	Discrete Mathematics	(unset)	Computer Science	New
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Discrete Structures I	Permutations and Combinations	Discrete Mathematics	(unset)	Computer Science	New
