plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Changes in Ownership Interests in Subsidiaries	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Consolidation Procedures and Elimination Entries	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Intercompany Inventory and PPE Transactions	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Noncontrolling Interests in Consolidated Financial Statements	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Foreign Currency Transactions and Operations	Foreign Currency Transactions and Exchange Differences	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Foreign Currency Transactions and Operations	Translation of Foreign Operations	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Derivatives and Hedge Accounting	Derivative Instruments: Forwards, Futures, Options, and Swaps	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Derivatives and Hedge Accounting	Hedge Accounting: Fair Value, Cash Flow, and Net Investment Hedges	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Nonprofit Organization Accounting	Accounting for Nonprofit Organizations	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Government Accounting	Government Budgeting, Appropriations, and Disbursements	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Government Accounting	Philippine Government Accounting Fundamentals	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Cost Accounting Systems	Activity-Based Costing in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Cost Accounting Systems	Job Order Costing in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Cost Accounting Systems	Process Costing in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Cost Accounting Systems	Cost Accumulation and Manufacturing Cost Flows	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Cost Accounting Systems	Overhead Allocation and Predetermined Overhead Rates	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Joint and By-Product Costing	Joint Product Costing in Cost Accounting	Cost Accounting	ACCOUNTANCY	Accountancy	Reuse
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Joint and By-Product Costing	By-Product Accounting and Joint Cost Allocation	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Management Accounting Foundations	Relevant Financial and Nonfinancial Information for Management Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Management Accounting Foundations	Role, Scope, and Ethical Responsibilities of Management Accounting	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost Behavior and Cost Estimation	Cost Behavior in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost Behavior and Cost Estimation	High-Low Method and Cost Estimation	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost Behavior and Cost Estimation	Learning Curve and Cost Estimation Concepts	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost-Volume-Profit Analysis	Cost-Volume-Profit Analysis in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost-Volume-Profit Analysis	Multi-Product Cost-Volume-Profit Analysis	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost-Volume-Profit Analysis	Operating Leverage and Margin of Safety	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Standard Costing and Variance Analysis	Standard Costing in Management Advisory Services	Management Advisory Services	ACCOUNTANCY	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Standard Costing and Variance Analysis	Variance Analysis in Management Advisory Services	Management Advisory Services	ACCOUNTANCY	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Standard Costing and Variance Analysis	Materials and Labor Variances	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Standard Costing and Variance Analysis	Sales Variances and Mix-Yield Analysis	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Standard Costing and Variance Analysis	Variable and Fixed Overhead Variances	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Budgeting in Management Advisory Services	Management Advisory Services	ACCOUNTANCY	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Capital Budgeting Techniques in Managerial Decision Making	Managerial Decision Making	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Capital Budgeting in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Budget Preparation and Financial Planning	Managerial Decision Making	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Cash Budget: Concept, Components, and Importance	Budgeting	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Flexible Budgets in Managerial Accounting	Budgeting	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Master Budget in Accounting	Budgeting	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Sales Budget in Managerial Accounting	Budgeting	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Budgeted Financial Statements	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Budgeting and Forecasting	Production and Operating Budgets	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Responsibility Accounting in Management Advisory Services	Management Advisory Services	ACCOUNTANCY	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Responsibility Accounting in Managerial Decision Making	Managerial Decision Making	ACCOUNTANCY	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Balanced Scorecard in Performance Measurement	Performance	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Performance Measurement Systems in Managerial Decision Making	Managerial Decision Making	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Residual Income in Performance Measurement	Performance	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Return on Investment (ROI) in Accountancy	Performance	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Economic Value Added and Performance Evaluation	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Responsibility Accounting and Performance Measurement	Transfer Pricing	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Relevant Costing in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Relevant Costing in Managerial Decision Making	Managerial Decision Making	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Limiting Factor Analysis in Managerial Decision Making	Decision Making	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Make or Buy Decisions in Managerial Accounting	Decision Making	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Product Mix Decisions in Managerial Accounting	Decision Making	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Special Order Decisions in Managerial Accounting	Decision Making	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Pricing Decisions and Target Costing	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Sell or Process Further Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Relevant Costing and Short-Term Decisions	Shutdown and Continue Operations Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	Application of Linear Programming in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	Decision Trees in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	Inventory Models in Management Advisory Services	Management Advisory Services	(unset)	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	PERT and CPM for Project Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	Probability and Expected Value for Business Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Quantitative Methods for Decision Making	Regression and Correlation for Management Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Working Capital Management	Working Capital Management in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Working Capital Management	Cash Conversion Cycle and Working Capital Policies	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Working Capital Management	Cash and Marketable Securities Management	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Working Capital Management	Receivables and Inventory Management	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Capital Budgeting	Time Value of Money in Accountancy	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Capital Budgeting	Compound Interest, Liabilities, and Debt Analysis	Financial Management	ACCOUNTANCY	Accountancy	Reuse
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Capital Budgeting	Capital Rationing and Mutually Exclusive Projects	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Capital Budgeting	Net Present Value and Internal Rate of Return	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Capital Budgeting	Payback, Discounted Payback, and Profitability Index	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Capital Structure in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Dividend Policy in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Leverage in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Capital Structure Theories and EBIT-EPS Analysis	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Dividend Policy Theories and Share Repurchases	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financing, Leverage and Capital Structure	Operating, Financial, and Combined Leverage	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost of Capital	Cost of Capital in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost of Capital	Component Costs of Debt, Preferred Shares, and Equity	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Cost of Capital	Weighted Average Cost of Capital	Management Services	(unset)	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Risk and Return	Risk and Return in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Risk and Return	Capital Asset Pricing Model	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Risk and Return	Portfolio Risk, Diversification, and Beta	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financial Statement Analysis	Financial Ratios in Financial Management	Financial Management	(unset)	Accountancy	Existing
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financial Statement Analysis	DuPont Analysis	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financial Statement Analysis	Horizontal, Vertical, and Trend Analysis	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Financial Statement Analysis	Liquidity, Solvency, Activity, and Profitability Ratios	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Economics for Management Decisions	Demand, Supply, and Elasticity	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Economics for Management Decisions	Macroeconomic Indicators and Business Decisions	Management Services	ACCOUNTANCY	Accountancy	New
3	📈 Management Services	Cost accounting, managerial decision-making, budgeting, capital budgeting, and quantitative techniques used for internal management planning and control.	Economics for Management Decisions	Market Structures and Pricing	Management Services	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Types of Audit Opinions and Their Issuance Criteria	Audit Fundamentals	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Understanding Audit Risk: Inherent, Control, and Detection Risk	Audit Fundamentals	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Audit Evidence and Assurance Engagements	Audit Fundamentals	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Internal Control Systems and Audit Procedures	Audit Fundamentals	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Professional Skepticism in Auditing: Concept and Application	Audit Fundamentals	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Management and Auditor Responsibilities in a Financial Statement Audit	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Nature, Objectives, and Types of Assurance Engagements	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Audit and Assurance Foundations	Professional Judgment and Professional Skepticism	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Ethics, Governance and Quality Management	Auditor Independence and Threats and Safeguards	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Ethics, Governance and Quality Management	Code of Ethics for Professional Accountants: Fundamental Principles	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Ethics, Governance and Quality Management	Corporate Governance and the External Auditor	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Ethics, Governance and Quality Management	Quality Management for Firms and Engagements	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Client Acceptance and Audit Planning	Audit Planning and Risk Assessment	Audit Procedures	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Client Acceptance and Audit Planning	Overall Audit Strategy and Detailed Audit Plan	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Client Acceptance and Audit Planning	Preconditions for an Audit and Engagement Terms	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Audit Assertions in Financial Statement Auditing	Auditing	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Internal Controls and Audit Risk	Auditing	ACCOUNTANCY	Accountancy	Existing
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Risk Assessment Components in Internal Controls	Internal Controls	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Fraud Risk and Auditor Responsibilities	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Materiality and Performance Materiality	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Risk Assessment and Materiality	Risk Assessment Procedures and Significant Risks	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Internal Control	Compliance Testing Procedures in Auditing	Audit Procedures	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Internal Control	Control Environment in Internal Controls	Internal Controls	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Internal Control	Segregation of Duties in Internal Controls	Internal Controls	ACCOUNTANCY	Accountancy	Reuse
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Internal Control	Tests of Controls and Control Deficiencies	Auditing	ACCOUNTANCY	Accountancy	New
4	🔍 Auditing	The concepts, standards, and procedures of an independent financial statement audit, from engagement planning and risk assessment through evidence gathering and the auditor's report.	Internal Control	Understanding and Evaluating Internal Control	Auditing	ACCOUNTANCY	Accountancy	New
