plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Postpartum and Puerperal Care	Postpartum Care in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Postpartum Complications	Postpartum Complications in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Postpartum Complications	Postpartum Warning Signs in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Growth and Development	Developmental Milestones in Pediatric Nursing Assessment	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Growth and Development	Language Development in Children: Stages and Nursing Implications	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Growth and Development	Motor Skill Development Across Childhood in Nursing	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Growth and Development	Pediatric Growth Charts and Clinical Assessment	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Growth and Development	Physical Growth Patterns in Pediatric Nursing	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Newborn and Infant Assessment	Pediatric Vital Signs Reference Ranges by Age Group	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Pediatric Health Promotion and Nutrition	Pediatric Nutrition: Fundamentals and Nursing Implications	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Pediatric Health Promotion and Nutrition	Benefits of Breastfeeding for Infant Development	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Immunization and Preventive Care	Childhood Immunization Schedule in Pediatric Nursing	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Common Pediatric Disorders	Common Childhood Diseases in Pediatric Nursing	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Common Pediatric Disorders	Common Pediatric Respiratory Conditions: Diagnosis and Management	Pediatric Nursing	NURSING	Nursing	Reuse
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Pediatric Acute and Emergency Care	Pediatric Emergencies in Nursing Care	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Congenital and Developmental Disorders	Congenital Disorders in Pediatric Nursing	Pediatric Nursing	NURSING	Nursing	Existing
4	🧒 Pediatric and Adolescent Nursing	Develop age-appropriate nursing care across the neonate-to-adolescent continuum, covering growth and development, health promotion, immunization, common disorders, congenital conditions, and acute pediatric care.	Adolescent Health	Adolescent Growth, Health Promotion, Risk Reduction, and Nursing Care	Pediatric Nursing	NURSING	Nursing	New
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Perioperative Nursing	Perioperative Nursing: Preoperative, Intraoperative, and Postoperative Care	Medical – Surgical Nursing	NURSING	Nursing	New
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Respiratory and Oxygenation Disorders	Chronic Obstructive Pulmonary Disease (COPD) in Medical-Surgical Nursing	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Respiratory and Oxygenation Disorders	Pneumonia in Medical-Surgical Nursing: Pathophysiology and Patient Management	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Respiratory and Oxygenation Disorders	Asthma Pathophysiology and Management in Medical-Surgical Nursing	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Respiratory and Oxygenation Disorders	Tuberculosis in Medical-Surgical Nursing: Pathophysiology, Diagnosis, and Management	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Respiratory and Oxygenation Disorders	Respiratory Disorders: Asthma, COPD, and Pneumonia in Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cardiovascular and Perfusion Disorders	Hypertension Overview	Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cardiovascular and Perfusion Disorders	Heart Failure in Medical-Surgical Nursing	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cardiovascular and Perfusion Disorders	Myocardial Infarction in Medical-Surgical Nursing	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cardiovascular and Perfusion Disorders	Angina Pectoris: Pathophysiology and Clinical Management in Medical-Surgical Nursing	Medical – Surgical Nursing	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cardiovascular and Perfusion Disorders	Cardiovascular Disorders in Nursing: Pathophysiology, Assessment, and Management	Medical – Surgical Nursing	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Sodium Imbalances: Hyponatremia and Hypernatremia in Nursing Care	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Potassium Imbalances: Hypokalemia and Hyperkalemia in Nursing Care	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Calcium Imbalances in Nursing Care	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Magnesium Imbalances in Nursing	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Respiratory Acidosis and Alkalosis in Acid-Base Balance	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Interpreting Arterial Blood Gas (ABG) Results in Nursing	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Fluid Volume Deficit (Hypovolemia) in Nursing: Assessment and Management	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Fluid Volume Excess (Hypervolemia) in Nursing Care	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Intravenous Fluids in Fluid, Electrolyte, and Acid-Base Balance Management	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Metabolic Acidosis and Metabolic Alkalosis in Fluid and Electrolyte Balance	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Chronic Kidney Disease: Pathophysiology and Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	Existing
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Fluids and Electrolytes Overview	Biology	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Electrolyte Replacement and Nursing Considerations in Fluid and Electrolyte Balance	Fluid, Electrolyte, and Acid – Base Balance	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Renal Disorders in Clinical Nursing Practice	Medical – Surgical Nursing	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Fluid, Electrolyte, Acid-Base, and Urinary Elimination	Acid-Base Balance and Imbalance in Body Fluids	Physiology	NURSING	Nursing	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Infectious Diseases	Pain, Inflammation, and Tissue Healing	Pathophysiology	NURSING	Physical Therapy	Reuse
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Infectious Diseases	What Happens to the Body During Exercise?	Exercise Physiology	(unset)	Physical Therapy	Excluded
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Inflammatory and Immunologic Disorders	Inflammatory, Autoimmune, and Immunologic Disorders in Adult Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	New
5	❤️ Adult Health Nursing I — Perioperative, Oxygenation, Fluids, Infection, Immunology, and Oncology	Cover the Nursing Practice III clinical domains: perioperative care, oxygenation and perfusion, fluid-electrolyte and acid-base balance, urinary elimination, infectious and inflammatory conditions, immune disorders, and cellular aberrations.	Cellular Aberrations and Oncology	Foundations and Critical Practices in Oncology Nursing	Medical – Surgical Nursing	NURSING	Nursing	Reuse
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Nutrition and Metabolic Disorders	Nutrition Assessment, Therapeutic Diets, and Metabolic Support in Adult Nursing	Medical – Surgical Nursing	NURSING	Nursing	New
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Gastrointestinal and Hepatobiliary Disorders	Liver Cirrhosis: Pathophysiology and Nursing Management	Medical – Surgical Nursing	NURSING	Nursing	Existing
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Gastrointestinal and Hepatobiliary Disorders	Gastrointestinal Disorders	Medical – Surgical Nursing	NURSING	Nursing	Reuse
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Endocrine and Metabolic Disorders	Endocrine Disorders in Nursing Practice	Medical – Surgical Nursing	NURSING	Nursing	Reuse
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Neurologic and Cerebrovascular Disorders	Stroke in Medical-Surgical Nursing: Pathophysiology, Types, and Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	Existing
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Neurologic and Cerebrovascular Disorders	Neurological Disorders in Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	Reuse
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Musculoskeletal Disorders	Musculoskeletal Disorders: Assessment and Nursing Management	Medical – Surgical Nursing	NURSING	Nursing	New
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Sensory: Eye and Ear Disorders	Eye and Ear Disorders: Assessment and Nursing Management	Medical – Surgical Nursing	NURSING	Nursing	New
6	🧬 Adult Health Nursing II — Nutrition, GI, Endocrine, Neurologic, Musculoskeletal, and Sensory	Cover the Nursing Practice IV domains of nutrition and gastrointestinal function, metabolism and endocrine regulation, perception and coordination, musculoskeletal disorders, sensory problems, and care considerations for older adults.	Older Adult and Gerontologic Nursing	Gerontologic Nursing and Care of Older Adults	Medical – Surgical Nursing	NURSING	Nursing	New
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Foundations, Models, and Mental Health Systems	Defense Mechanisms in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Therapeutic Relationship and Communication	Therapeutic Communication in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Anxiety, Trauma, and Related Disorders	Anxiety Disorders in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Mood Disorders	Mood Disorders in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Psychotic Disorders	Schizophrenia in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Personality Disorders	Personality Disorders in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Substance-Related and Addictive Disorders	Substance Abuse in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Crisis, Suicide, Violence, and Safety	Crisis Intervention in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Crisis, Suicide, Violence, and Safety	Suicide Prevention in Psychiatric-Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	Existing
7	🧠 Mental Health and Psychiatric Nursing	Prepare for the mental-health component of Nursing Practice V through therapeutic models, mental-health concepts, psychiatric assessment, maladaptive behavior patterns, therapeutic communication, crisis care, and psychiatric interventions.	Psychiatric Therapies and Psychopharmacology	Psychiatric Therapies and Psychopharmacology in Mental Health Nursing	Psychiatric – Mental Health Nursing	NURSING	Nursing	New
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Emergency Assessment, Triage, and ABC Priorities	Emergency Assessment, Triage, and ABC Priorities in Nursing	Prioritization and Clinical Judgement	NURSING	Nursing	New
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Shock, Sepsis, SIRS, and Multi-Organ Dysfunction	Understanding Shock and Its Types	Medical – Surgical Nursing	NURSING	Nursing	Existing
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Shock, Sepsis, SIRS, and Multi-Organ Dysfunction	Sepsis in Medical-Surgical Nursing: Pathophysiology, Recognition, and Management	Medical – Surgical Nursing	NURSING	Nursing	Existing
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Respiratory Emergencies and Mechanical Ventilation	Respiratory Emergencies and Mechanical Ventilation in Critical Care Nursing	Medical – Surgical Nursing	NURSING	Nursing	New
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Cardiac Emergencies and Dysrhythmias	Interpretation of Electrocardiogram (ECG) in Cardiac Arrhythmias	Nursing	NURSING	Nursing	Reuse
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Neurologic Emergencies	Neurologic Emergencies and Acute Neurologic Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	New
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Acute GI, Endocrine, and Renal Emergencies	Acute Gastrointestinal, Endocrine, and Renal Emergencies	Medical – Surgical Nursing	NURSING	Nursing	New
8	🚨 Emergency, Critical Care, and High-Acuity Nursing	Develop rapid assessment and priority care for life-threatening, acutely ill, multi-organ, high-acuity, and emergency situations emphasized in Nursing Practice V.	Trauma and Environmental Emergencies	Trauma and Environmental Emergencies in Nursing Care	Medical – Surgical Nursing	NURSING	Nursing	New
